"Code Fap";"Libellé de la famille professionnelle";"Année";"Salaire médian (en €)"
"D1Z41";"Ouvriers qualifiés travaillant par enlèvement de métal";"2003-2005";"1417"
"D1Z41";"Ouvriers qualifiés travaillant par enlèvement de métal";"2017-2019";"1837"
"D2Z";"Ouvriers qualifiés travaillant par formage de métal";"2017-2019";"1756"
"D2Z";"Ouvriers qualifiés travaillant par formage de métal";"2003-2005";"1330"
"D2Z40";"Chaudronniers, tôliers, traceurs, serruriers, métalliers, forgerons";"2017-2019";"1778"
"D2Z40";"Chaudronniers, tôliers, traceurs, serruriers, métalliers, forgerons";"2003-2005";"1344"
"D2Z41";"Tuyauteurs";"2017-2019";"1802"
"D2Z41";"Tuyauteurs";"2003-2005";"1330"
"D2Z42";"Soudeurs";"2017-2019";"1746"
"D2Z42";"Soudeurs";"2003-2005";"1313"
"D3Z";"Ouvriers non qualifiés de la mécanique";"2017-2019";"1520"
"D3Z";"Ouvriers non qualifiés de la mécanique";"2003-2005";"1192"
"D3Z20";"Ouvriers non qualifiés métallerie, serrurerie, montage";"2017-2019";"1520"
"D3Z20";"Ouvriers non qualifiés métallerie, serrurerie, montage";"2003-2005";"1192"
"D4Z";"Ouvriers qualifiés de la mécanique";"2003-2005";"1398"
"D4Z";"Ouvriers qualifiés de la mécanique";"2017-2019";"1765"
"D4Z40";"Monteurs, ajusteurs et autres ouvriers qualifiés de la mécanique";"2003-2005";"1400"
"D4Z40";"Monteurs, ajusteurs et autres ouvriers qualifiés de la mécanique";"2017-2019";"1800"
"D4Z41";"Agents qualifiés de traitement thermique et de surface";"2003-2005";"1300"
"D4Z41";"Agents qualifiés de traitement thermique et de surface";"2017-2019";"1648"
"D6Z";"Techniciens et agents de maîtrise des industries mécaniques";"2003-2005";"1741"
"D6Z";"Techniciens et agents de maîtrise des industries mécaniques";"2017-2019";"2183"
"D6Z70";"Techniciens en mécanique et travail des métaux";"2017-2019";"2173"
"D6Z70";"Techniciens en mécanique et travail des métaux";"2003-2005";"1750"
"D6Z71";"Dessinateurs en mécanique et travail des métaux";"2017-2019";"2056"
"D6Z71";"Dessinateurs en mécanique et travail des métaux";"2003-2005";"1608"
"D6Z80";"Agents de maîtrise et assimilés en fabrication mécanique";"2003-2005";"1778"
"D6Z80";"Agents de maîtrise et assimilés en fabrication mécanique";"2017-2019";"2266"
"E";"Industries de process";"2003-2005";"1354"
"E";"Industries de process";"2017-2019";"1799"
"E0Z";"Ouvriers non qualifiés des industries de process";"2003-2005";"1135"
"E0Z";"Ouvriers non qualifiés des industries de process";"2017-2019";"1500"
"E0Z20";"Ouvriers non qualifiés des industries chimiques et plastiques";"2003-2005";"1197"
"E0Z20";"Ouvriers non qualifiés des industries chimiques et plastiques";"2017-2019";"1500"
"E0Z21";"Ouvriers non qualifiés des industries agro-alimentaires";"2017-2019";"1477"
"E0Z21";"Ouvriers non qualifiés des industries agro-alimentaires";"2003-2005";"1100"
"E0Z22";"Ouvriers non qualifiés en métallurgie, verre, céramique et matériaux de construction";"2017-2019";"1619"
"E0Z22";"Ouvriers non qualifiés en métallurgie, verre, céramique et matériaux de construction";"2003-2005";"1200"
"E0Z23";"Ouvriers non qualifiés du papier-carton et du bois";"2003-2005";"1267"
"E0Z23";"Ouvriers non qualifiés du papier-carton et du bois";"2017-2019";"1691"
"E0Z24";"Autres ouvriers non qualifiés de type industriel";"2003-2005";"1095"
"E0Z24";"Autres ouvriers non qualifiés de type industriel";"2017-2019";"1400"
"E1Z";"Ouvriers qualifiés des industries de process";"2017-2019";"1750"
"E1Z";"Ouvriers qualifiés des industries de process";"2003-2005";"1367"
"E1Z40";"Pilotes d'installation lourde des industries de transformation";"2017-2019";"1800"
"E1Z40";"Pilotes d'installation lourde des industries de transformation";"2003-2005";"1333"
"E1Z41";"Autres ouvriers qualifiés des industries chimiques et plastiques";"2017-2019";"1800"
"E1Z41";"Autres ouvriers qualifiés des industries chimiques et plastiques";"2003-2005";"1391"
"E1Z42";"Autres ouvriers qualifiés des industries agro-alimentaires (hors transformation des viandes)";"2017-2019";"1600"
"E1Z42";"Autres ouvriers qualifiés des industries agro-alimentaires (hors transformation des viandes)";"2003-2005";"1310"
"E1Z43";"Autres ouvriers qualifiés en verre, céramique, métallurgie, matériaux de construction et énergie ";"2003-2005";"1399"
"E1Z43";"Autres ouvriers qualifiés en verre, céramique, métallurgie, matériaux de construction et énergie ";"2017-2019";"1778"
"E1Z44";"Ouvriers qualifiés des industries lourdes du bois et de la fabrication de papier-carton";"2003-2005";"1667"
"E1Z44";"Ouvriers qualifiés des industries lourdes du bois et de la fabrication de papier-carton";"2017-2019";"1893"
"E1Z46";"Agents qualifiés de laboratoire";"2017-2019";"1874"
"E1Z46";"Agents qualifiés de laboratoire";"2003-2005";"1372"
"E1Z47";"Autres ouvriers qualifiés de type industriel";"2017-2019";"1643"
"E1Z47";"Autres ouvriers qualifiés de type industriel";"2003-2005";"1267"
"E2Z";"Techniciens et agents de maîtrise des industries de process";"2017-2019";"2183"
"E2Z";"Techniciens et agents de maîtrise des industries de process";"2003-2005";"1757"
"E2Z70";"Techniciens des industries de process";"2003-2005";"1712"
"E2Z70";"Techniciens des industries de process";"2017-2019";"2166"
"E2Z80";"Agents de maîtrise et assimilés des industries de process";"2003-2005";"1864"
"E2Z80";"Agents de maîtrise et assimilés des industries de process";"2017-2019";"2213"
"Ensemble";nd;"2003-2005";"1450"
"Ensemble";nd;"2017-2019";"1841"
"F";"Matériaux souples, bois, industries graphiques";"2017-2019";"1600"
"F";"Matériaux souples, bois, industries graphiques";"2003-2005";"1211"
"F0Z";"Ouvriers non qualifiés du textile et du cuir";"2017-2019";"1300"
"F0Z";"Ouvriers non qualifiés du textile et du cuir";"2003-2005";"1020"
"F0Z20";"Ouvriers non qualifiés du textile et du cuir";"2017-2019";"1300"
"F0Z20";"Ouvriers non qualifiés du textile et du cuir";"2003-2005";"1020"
"F1Z";"Ouvriers qualifiés du textile et du cuir";"2003-2005";"1083"
"F1Z";"Ouvriers qualifiés du textile et du cuir";"2017-2019";"1459"
"F1Z40";"Ouvriers qualifiés du travail industriel du textile et du cuir";"2017-2019";"1495"
"F1Z40";"Ouvriers qualifiés du travail industriel du textile et du cuir";"2003-2005";"1083"
"F1Z41";"Ouvriers qualifiés du travail artisanal du textile et du cuir";"2003-2005";"1093"
"F1Z41";"Ouvriers qualifiés du travail artisanal du textile et du cuir";"2017-2019";"1408"
"F2Z";"Ouvriers non qualifiés du travail du bois et de l'ameublement";"2017-2019";"1450"
"F2Z";"Ouvriers non qualifiés du travail du bois et de l'ameublement";"2003-2005";"1067"
"F2Z20";"Ouvriers non qualifiés du travail du bois et de l'ameublement";"2003-2005";"1067"
"F2Z20";"Ouvriers non qualifiés du travail du bois et de l'ameublement";"2017-2019";"1450"
"F3Z";"Ouvriers qualifiés du travail du bois et de l'ameublement";"2017-2019";"1647"
"F3Z";"Ouvriers qualifiés du travail du bois et de l'ameublement";"2003-2005";"1241"
"F3Z41";"Ouvriers qualifiés du travail du bois et de l'ameublement";"2017-2019";"1647"
"F3Z41";"Ouvriers qualifiés du travail du bois et de l'ameublement";"2003-2005";"1241"
"F4Z";"Ouvriers des industries graphiques";"2003-2005";"1320"
"F4Z";"Ouvriers des industries graphiques";"2017-2019";"1707"
"F4Z20";"Ouvriers non qualifiés de l'imprimerie, de la presse et de l'édition";"2017-2019";"1500"
"F4Z20";"Ouvriers non qualifiés de l'imprimerie, de la presse et de l'édition";"2003-2005";"1192"
"F4Z41";"Ouvriers qualifiés de l'impression et du façonnage des industries graphiques";"2017-2019";"1750"
"F4Z41";"Ouvriers qualifiés de l'impression et du façonnage des industries graphiques";"2003-2005";"1370"
"F5Z";"Techniciens et agents de maîtrise des matériaux souples, du bois et des industries graphiques";"2017-2019";"2000"
"F5Z";"Techniciens et agents de maîtrise des matériaux souples, du bois et des industries graphiques";"2003-2005";"1625"
"F5Z70";"Techniciens et agents de maîtrise des matériaux souples, du bois et des industries graphiques";"2003-2005";"1625"
